pipeline,resolution,scene,raw_fps,comp_fps,fps_delta,raw_bw,comp_bw,bw_delta,n_raw,n_comp
compute,64,cityscape,372.78832100677494,377.60747998382107,1.2927333571049688,47.62366989173741,49.98502561245,4.958365716209293,10,11
compute,64,cornell,460.7097564259804,502.32378736495974,9.032591638997605,60.97776895743032,66.23895978636814,8.628047432517173,11,11
compute,64,noise,442.608736632665,446.56047373739875,0.8928285362820173,54.367463712125556,56.97510120987893,4.796319930539251,11,10
compute,64,tunnels,537.3887787307393,573.8240370548133,6.780055662890944,67.83132559480767,68.73836217661699,1.33719424448157,11,11
compute,128,cityscape,417.46420730012835,518.2179763395136,24.134708383981323,54.04275501180779,62.52718123038158,15.699470200436721,11,11
compute,128,cornell,428.7582748603821,412.4416434663715,-3.8055548663926833,54.42861504147946,53.257973604689944,-2.150783068607171,10,11
compute,128,noise,391.01404737218223,413.21573896986064,5.6779780028071425,50.9851633851702,52.03574297456127,2.0605594248162142,10,11
compute,128,tunnels,557.2998917153676,585.3317215658824,5.02993635333983,69.6631161716332,72.05138239334772,3.4283080530454617,10,10
compute,256,cityscape,335.2676365666919,405.0905473171581,20.826021701792534,44.682513151317835,53.27142360390362,19.222084540095906,12,11
compute,256,cornell,281.91479631768334,347.82447018305464,23.3792886099881,36.75129358778397,43.18767172601281,17.513337653965667,12,12
compute,256,noise,407.2602316766315,427.55447491614024,4.983114397386715,52.062163999858825,54.10450688478103,3.9228928035487427,12,10
compute,256,tunnels,450.5239718125661,555.2057440286212,23.235560983557697,59.74327473300199,69.26498970041051,15.937718529762407,10,12
fragment,64,cityscape,699.2956301790873,708.2853180643717,1.285534686235946,90.20339790506164,92.68410930109025,2.750130764075583,10,10
fragment,64,cornell,1324.5692814191184,1215.7010797269415,-8.2191398531859,172.723297046572,154.40467159160158,-10.605764114166421,10,11
fragment,64,noise,957.4461934881499,981.0353374816433,2.463756621931293,123.20535046754462,127.6610327671107,3.6164681831247387,11,11
fragment,64,tunnels,1875.6512076447805,1712.8951529481676,-8.677309194441463,249.08693245206774,228.84029929969873,-8.128340155405427,10,12
fragment,128,cityscape,769.7477160682678,805.0315532938639,4.583818371793241,101.46421076496442,107.31813155804078,5.769443973340118,10,10
fragment,128,cornell,872.8832228326797,947.9987107810973,8.605445262729747,112.401350088134,123.98780787810684,10.308112652461816,12,10
fragment,128,noise,735.910855740971,790.3428368874753,7.396545481272736,94.30252309194456,98.63365809307857,4.592809247437804,12,11
fragment,128,tunnels,1591.2406169151539,1502.5058690157805,-5.576450660956499,208.73479484190545,201.61776684790848,-3.4096030800170936,11,11
fragment,256,cityscape,633.3195110501184,733.4966889686584,15.817794362980294,84.63715810131282,97.58734710720181,15.3008315690223,12,10
fragment,256,cornell,688.0706072902678,651.7791246185303,-5.274383513439005,90.23280259846896,83.80141857705514,-7.127545455983593,10,10
fragment,256,noise,798.4032096857013,790.5778112220764,-0.980131137837662,103.35517169456816,104.41196388769647,1.0224860312276531,11,10
fragment,256,tunnels,1437.667021683057,1588.2681356201172,10.47538210626501,185.0284031162142,212.3664139937684,14.775034760681308,12,10
hardware_rt,64,cityscape,1653.001806008888,1756.418873366038,6.256319078491917,214.81490704180166,227.30012810269992,5.812083170963879,11,10
hardware_rt,64,cornell,1621.9559263032854,1546.0879203888865,-4.6775627305308545,201.4705444725896,196.35551304642902,-2.538848266653934,11,11
hardware_rt,64,noise,1533.2634123091264,1441.7165504478687,-5.970719781500961,193.2404544858409,184.34114671093045,-4.605302651863989,11,11
hardware_rt,64,tunnels,1613.1993121083578,1682.6880874404906,4.307513325263877,205.6390301637848,215.86650857120753,4.973510329861441,11,10
hardware_rt,128,cityscape,1573.163597434073,1529.4860009788745,-2.776417947023394,197.33455831129442,200.51568613735114,1.6120480129174881,11,11
hardware_rt,128,cornell,1500.3045555409517,1404.699449499766,-6.372379907005898,195.97515647742557,185.44998003027837,-5.37066872981913,11,10
hardware_rt,128,noise,1337.3300467830234,1554.8487301543266,16.265145907291114,172.4372419869403,197.51653501300197,14.544011918238095,12,11
hardware_rt,128,tunnels,1448.4841723828847,1481.494929116567,2.278986361264591,188.0730122049008,187.35103656208875,-0.38388051233288084,12,11
hardware_rt,256,cityscape,2257.67491312027,2052.919162419637,-9.069319480440427,287.9920730719302,275.37032268252636,-4.382672847474989,6,6
hardware_rt,256,cornell,2138.5516346083746,2069.0829707188077,-3.248397783123362,280.214555500009,269.24339311713976,-3.9152721254227947,6,6
hardware_rt,256,noise,2146.759754532708,1907.798278690974,-11.131263073904117,273.3772269782507,250.88917309926615,-8.226015797860752,6,6
hardware_rt,256,tunnels,1951.6081307082707,1913.8549189525181,-1.9344668205523046,249.05329086340134,242.05189056538873,-2.8112056956728515,6,6
